,Unnamed: 0,Number,Name,Country,Region,Type,Activity_Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant_Rock_Type,Tectonic_Setting,clean_Country,clean_Type,clean_Elevation,clean_Latitude
161,179,231020,"Uwayrid, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Dated,640 CE,27.08,37.25,1920,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
162,180,231040,"Lunayyir, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1000 CE,25.17,37.75,1370,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
163,181,231050,"Ithnayn, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,26.58,40.2,1625,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
164,182,231060,"Khaybar, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,650 CE,25.0,39.92,2093,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
165,183,231070,"Rahat, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1256 CE,23.08,39.78,1744,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
166,184,231071,"Kishb, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,22.8,41.38,1475,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
167,185,231072,"Birk, Harrat al",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,18.37,41.63,587,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
168,186,231080,"Yar, Jabal",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1810 CE,17.05,42.83,305,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
169,187,231090,"Arhab, Harra of",Yemen,Middle East and Indian Ocean,Volcanic field,Eruption Observed,500 CE,15.63,44.08,3100,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,3000m--4000m,1
170,188,231100,"Marha, Jabal el-",Yemen,Middle East and Indian Ocean,Tuff cone,Evidence Uncertain,Unknown,15.245,44.236000000000004,2506,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
171,189,231110,"Haylan, Jabal",Yemen,Middle East and Indian Ocean,Volcanic field,Eruption Dated,1200 BCE,15.4,45.1,1550,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
172,190,231120,"Dhamar, Harras of",Yemen,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1937 CE,14.57,44.67,3500,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,3000m--4000m,1
173,191,231160,"Sawad, Harra Es-",Yemen,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1253 CE,13.58,46.12,1737,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
174,192,231170,"Bal Haf, Harra of",Yemen,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,14.067,48.3,604,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
